stats_g/std,test/mean_Q,stats_o/std,test/episode,train/episode,stats_o/mean,stats_g/mean,epoch,test/success_rate,train/success_rate
0.6180453,-8.272127,0.027805978,40.0,50.0,0.39371264,0.0058762482,0,0.325,0.20000000000000004
0.64505416,-8.299514,0.021385612,80.0,100.0,0.3941059,0.05035299,1,0.25000000000000006,0.25833333333333336
0.6505285,-8.311599,0.018534284,120.0,150.0,0.3942372,0.061510667,2,0.35833333333333334,0.2644444444444444
0.65873396,-8.324657,0.016839856,160.0,200.0,0.39430293,0.07734559,3,0.30416666666666664,0.2866666666666667
0.6632169,-8.286593,0.015684022,200.0,250.0,0.39434233,0.08007439,4,0.3625,0.32
0.6655444,-8.313525,0.014903284,240.0,300.0,0.39436865,0.08766518,5,0.35833333333333334,0.3233333333333333
0.6659902,-8.336314,0.014296663,280.0,350.0,0.39438745,0.08997118,6,0.30833333333333335,0.3416666666666666
0.66675264,-8.323976,0.013835542,320.0,400.0,0.39440152,0.09033761,7,0.2916666666666667,0.3283333333333333
0.6671214,-8.36296,0.0134729,360.0,450.0,0.39441243,0.088609815,8,0.39166666666666666,0.32083333333333336
0.66808134,-8.305864,0.013169449,400.0,500.0,0.3944211,0.0905614,9,0.3333333333333333,0.3233333333333333
0.6697379,-8.357403,0.012908555,440.0,550.0,0.39442825,0.092190474,10,0.3333333333333333,0.3233333333333333
0.6704065,-8.353068,0.012677096,480.0,600.0,0.3944342,0.09368517,11,0.35000000000000003,0.33
0.67228323,-8.3407,0.012473375,520.0,650.0,0.39443925,0.09576797,12,0.33749999999999997,0.3408333333333333
0.6744263,-8.381757,0.012292505,560.0,700.0,0.3944436,0.09865707,13,0.3625,0.3508333333333334
0.6760234,-8.325727,0.01212963,600.0,750.0,0.39444736,0.100959815,14,0.3666666666666667,0.355
0.67705697,-8.342131,0.011980794,640.0,800.0,0.39445058,0.10130966,15,0.37916666666666665,0.36083333333333334
0.6781512,-8.345653,0.011846304,680.0,850.0,0.39445353,0.10312561,16,0.31666666666666665,0.3625
0.67816275,-8.315339,0.011722084,720.0,900.0,0.39445606,0.10537177,17,0.425,0.35916666666666663
0.67769533,-8.343638,0.011606865,760.0,950.0,0.3944584,0.106602274,18,0.36250000000000004,0.3475
0.67792076,-8.353237,0.011501994,800.0,1000.0,0.39446044,0.10825632,19,0.32916666666666666,0.35000000000000003
